id,accuracy,precision,recall,models_shape,epochs,learning_rate,loss,v_loss
1,0.96,0.98,0.96,"[2, 6, 2]",70,0.50,0.15,0.09
2,0.95,0.99,0.95,"[2, 6, 2]",80,0.50,0.16,0.09
3,0.96,0.99,0.96,"[2, 6, 2]",70,0.60,0.15,0.09
4,0.96,0.98,0.96,"[2, 6, 2]",70,0.70,0.15,0.09
5,0.96,0.99,0.96,"[2, 6, 2, 2]",70,0.70,0.15,0.10
6,0.95,0.99,0.95,"[2, 2, 2, 2]",70,0.70,0.17,0.10
7,0.96,0.98,0.96,"[2, 2, 2]",70,0.70,0.15,0.11
8,0.95,0.99,0.95,"[2, 6, 8, 2]",70,0.70,0.15,0.10
9,0.96,0.99,0.96,"[2, 6, 8, 2]",100,0.70,0.15,0.10
10,0.94,1.00,0.94,"[2, 6, 8, 2]",120,0.03,0.16,0.09
11,0.95,0.99,0.95,"[2, 10, 8, 2]",120,0.03,0.15,0.09
12,0.94,0.99,0.94,"[2, 10, 2]",120,0.03,0.16,0.09
13,0.95,0.99,0.95,"[2, 10, 12, 2]",120,0.03,0.15,0.09
14,0.96,0.99,0.96,"[2, 10, 12, 2]",120,0.70,0.15,0.10
15,0.96,0.99,0.96,"[2, 3, 3, 2]",120,0.70,0.15,0.10
16,0.96,0.98,0.96,"[2, 3, 2]",120,0.70,0.15,0.09
17,0.92,0.99,0.92,"[1, 3, 2]",120,0.70,0.21,0.19
18,0.95,0.99,0.95,"[2, 3, 2]",30,0.70,0.16,0.08
